empresa,sector,anio,ingresos,costos,utilidad_neta,activo_corriente,pasivo_corriente,activo_total,deuda_total,patrimonio
Empresa A,Retail,2022,27480585419,22905486312,4575099108,10253585420,6159955418,36695038427,13524082870,23170955557
Empresa A,Retail,2023,28936499194,25797252092,3139247101,7330904383,4241593178,23609914194,8276745947,15333168248
Empresa A,Retail,2024,31960194025,28486461321,3473732704,13181284285,8143108251,41089887887,14766592039,26323295848
Empresa A,Retail,2025,35789470778,31419288010,4370182768,10408394782,5760491223,49186466188,15435959843,33750506345
Empresa B,Retail,2022,33151149574,30205124611,2946024963,7936171217,3707264080,29003798136,10027761925,18976036212
Empresa B,Retail,2023,35780626758,30255823995,5524802763,9002571518,5220078886,36388218143,14208596090,22179622053
Empresa B,Retail,2024,39935699695,33123322110,6812377586,19734372112,9357680517,52443186747,21027004458,31416182289
Empresa B,Retail,2025,43743210448,35982273962,7760936486,14629606292,7325792386,44318976962,13941805280,30377171681
Empresa C,Retail,2022,18712277270,17755134190,957143080,9162144786,6763727610,26079562998,13825040998,12254522000
Empresa C,Retail,2023,19598950483,17850729832,1748220651,5243917504,4692463446,18372621479,10941630728,7430990752
Empresa C,Retail,2024,20200827100,19113718797,1087108303,10527935062,8575161729,26782672219,16687750161,10094922058
Empresa C,Retail,2025,20924527307,18974054503,1950472804,6419760515,5344523924,20065117212,10899583470,9165533741
Empresa D,Manufactura,2022,38741910106,36329381596,2412528511,15119635254,11653156955,34209069700,21622141949,12586927752
Empresa D,Manufactura,2023,40851179169,38785779749,2065399420,14549881376,10877606591,49360019319,24378766957,24981252363
Empresa D,Manufactura,2024,42641912550,39733273850,2908638701,18814553400,12776869033,48267896213,24567554537,23700341676
Empresa D,Manufactura,2025,43690139018,39690387477,3999751540,17074989242,13796093337,55100222501,32585987101,22514235400
Empresa E,Tecnologia,2022,80748296498,76165847883,4582448614,33416745833,22873692418,73254138209,40296860324,32957277885
Empresa E,Tecnologia,2023,83327218768,76845930057,6481288711,28695160973,20461770060,74303177714,42202725186,32100452529
Empresa E,Tecnologia,2024,87588994300,81308880432,6280113868,26386766072,23716396377,87106697258,40730600605,46376096653
Empresa E,Tecnologia,2025,92419428808,84233537820,8185890988,33954128338,23458319298,77147589527,39980953735,37166635792
Empresa F,Retail,2022,70115550050,65079041727,5036508323,23615699529,16018560881,83847715140,40938687533,42909027607
Empresa F,Retail,2023,72997786565,67452198784,5545587782,45399740310,32438733274,99083406592,62087632298,36995774294
Empresa F,Retail,2024,76539490175,71614666223,4924823952,30546336938,20981795910,78380441070,45329631026,33050810044
Empresa F,Retail,2025,78829262749,75235795319,3593467431,19736583653,14789589529,89262545340,42040039258,47222506082
Empresa G,Retail,2022,82819126939,75205065764,7614061175,21352370536,12291857925,99497794875,32087092286,67410702589
Empresa G,Retail,2023,94707930550,80695245706,14012684844,34472356016,16610995864,120352153607,41777898174,78574255432
Empresa G,Retail,2024,100361338760,87085768445,13275570315,39021703188,19217087338,108411803559,37074208418,71337595141
Empresa G,Retail,2025,115256619515,104304612630,10952006886,34116966204,16198709497,115669418387,39301603771,76367814616
Empresa H,Tecnologia,2022,15937808658,14855517147,1082291511,6600957279,4648140266,13471128882,8241504396,5229624486
Empresa H,Tecnologia,2023,16318982854,15037614459,1281368395,4515522267,3956221422,13199686208,7348225842,5851460366
Empresa H,Tecnologia,2024,16799661425,15711729005,1087932420,6905616247,4739766887,22155229463,12117229798,10037999665
Empresa H,Tecnologia,2025,17137103039,16042665630,1094437409,8614692643,7083011289,21782588043,13513383559,8269204484
Empresa I,Construccion,2022,42645596154,40334577979,2311018176,12215546297,10821964555,52942047285,25261284266,27680763019
Empresa I,Construccion,2023,43584042072,40589811541,2994230531,16230640042,14399294100,48756407953,30189913031,18566494922
Empresa I,Construccion,2024,45939920886,43834163791,2105757095,21407000788,16956410046,60507080283,28965558746,31541521537
Empresa I,Construccion,2025,47905553035,44340447301,3565105734,12898889247,9474894269,40680918656,19285089481,21395829175
Empresa J,Manufactura,2022,19578069869,19887774871,-309705003,6459704169,7635591241,23552694764,17796743267,5755951497
Empresa J,Manufactura,2023,18842797154,19090781363,-247984209,7732653263,7478778347,26362442421,20305376339,6057066081
Empresa J,Manufactura,2024,18439662492,18739181740,-299519248,9574688673,9551736181,24497432832,21591613357,2905819475
Empresa J,Manufactura,2025,18075803604,18533843009,-458039404,9247689927,8964823504,21094583181,17458474913,3636108268
Empresa K,Retail,2022,49263687897,46908842032,2354845865,22492416276,15490773314,47228090287,28922055041,18306035246
Empresa K,Retail,2023,50555279147,47634278474,2921000674,19749884244,14383177315,50844868516,25537033153,25307835363
Empresa K,Retail,2024,52588428571,49640174537,2948254033,20321771083,15026773029,43673603251,26961734869,16711868382
Empresa K,Retail,2025,53732935283,50472465575,3260469708,19616280486,16794516670,74574800253,36473434379,38101365874
Empresa L,Servicios,2022,14164541601,13021504186,1143037415,3491539646,2795480997,11637826517,5726904103,5910922414
Empresa L,Servicios,2023,14691341704,14039892117,651449586,5632020340,3794761655,19978062244,10541774160,9436288084
Empresa L,Servicios,2024,15195436445,13976827258,1218609187,6685139377,5051661525,15380929885,8883163966,6497765919
Empresa L,Servicios,2025,16091260318,14740065181,1351195137,6041585209,5170926839,15158649478,9402167963,5756481515
Empresa M,Tecnologia,2022,6604530119,6718887343,-114357224,4112716413,4119731130,8462655778,7453999599,1008656179
Empresa M,Tecnologia,2023,6452598377,6611319341,-158720964,2376243729,2383823865,8538723882,5877155631,2661568251
Empresa M,Tecnologia,2024,6197736239,6317754482,-120018243,1710017127,2069109456,7915793965,5813475157,2102318808
Empresa M,Tecnologia,2025,6068861171,6173562324,-104701153,3108329319,3698790347,8375838381,7247266094,1128572286
Empresa N,Servicios,2022,70544443813,67472541567,3071902246,32782033562,24621672681,67491923497,41319320782,26172602715
Empresa N,Servicios,2023,72063285998,66629138428,5434147570,36542220287,28656213351,91654188032,48076138708,43578049324
Empresa N,Servicios,2024,73837904326,67017329857,6820574469,18634918409,14614906655,61036768639,30448985379,30587783260
Empresa N,Servicios,2025,77696705310,71444917596,6251787714,32516243436,27513150365,96516604532,60095428237,36421176295
Empresa O,Manufactura,2022,56122091618,50936263158,5185828461,23983949229,19464152446,67354128093,37123925909,30230202184
Empresa O,Manufactura,2023,58489124965,55404230403,3084894562,19066274994,13650236733,60096825268,34688690237,25408135032
Empresa O,Manufactura,2024,60990366199,57041837117,3948529082,23512600005,19808904438,59912359620,36250851080,23661508540
Empresa O,Manufactura,2025,63690193977,59865855337,3824338640,29677500461,22752575347,76770652905,41486453391,35284199514
Empresa P,Tecnologia,2022,27507608830,25398363755,2109245075,9319872346,7788636182,37718427657,18214563957,19503863700
Empresa P,Tecnologia,2023,28945225671,27490675346,1454550325,13925617360,10365974407,40244330672,19121098214,21123232458
Empresa P,Tecnologia,2024,30051415135,27297994285,2753420850,11746909913,9361940556,36993518898,20808325314,16185193584
Empresa P,Tecnologia,2025,30829832548,28347819685,2482012863,19705580936,13586950215,40580209168,24948260992,15631948175
Empresa Q,Tecnologia,2022,84670199227,77081678416,7588520811,37021467116,19742853027,110833443906,35872997435,74960446471
Empresa Q,Tecnologia,2023,94556103150,76151329288,18404773862,49822915014,23466918732,129544108447,46638792934,82905315514
Empresa Q,Tecnologia,2024,106085082595,91176399126,14908683468,52494847710,24687093179,119740690755,46065412740,73675278015
Empresa Q,Tecnologia,2025,116424924408,103265478837,13159445571,43884695823,21391372469,137683750271,44535209605,93148540667
