Empresa,Sector,anio,ingresos,costos,utilidad_neta,activo_corriente,pasivo_corriente,activo_total,deuda_total,patrimonio
Empresa A,Retail,2022,27480585419,22905486312,4575099108,10253585420,6159955418,36695038427,27480585419,23170955557
Empresa A,Retail,2023,28936499194,7330904383,3.139.247.101,7330904383,4241593178,23609914194,8.276.745.947,15.333.168.248
Empresa A,Retail,2024,31.960.194.025,28.486.461.321,26323295848,13181284285,8143108251,41089887887,14.766.592.039,26323295848
Empresa A,Retail,2025,35789470778,31419288010,4.370.182.768,10408394782,5.760.491.223,49.186.466.188,15.435.959.843,5.760.491.223
Empresa B,Retail,2022,33.151.149.574,30205124611,2946024963,7936171217,3.707.264.080,29.003.798.136,29.003.798.136,18976036212
Empresa B,Retail,2023,35780626758,22179622053,5524802763,9002571518,5220078886,36.388.218.143,14208596090,22179622053
 Empresa B ,retail,2024,39935699695,33123322110,6812377586,9357680517,9357680517,52.443.186.747,21027004458,31416182289
Empresa B,Retail,2025,43743210448,35.982.273.962,7760936486,14.629.606.292,7325792386,44318976962,44318976962,30377171681
Empresa C,retail,2022,18712277270,17.755.134.190,957143080,9162144786,6763727610,26079562998,12.254.522.000,12.254.522.000
Empresa C,Retail,2023,18372621479,17850729832,1748220651,5243917504,4692463446,18372621479,10941630728,7.430.990.752
Empresa C,Retail,2024,20200827100,19113718797,1087108303,10527935062,8575161729,26.782.672.219,16687750161,20200827100
Empresa C,Retail,2025,20924527307,9165533741,1.950.472.804,6419760515,5.344.523.924,20.065.117.212,10899583470,9165533741
Empresa D,Manufactura,2022,38741910106,36329381596,36329381596,15119635254,11653156955,34209069700,21622141949,12586927752
Empresa D  ,manufactura,2023,40851179169,,2065399420,14549881376,10.877.606.591,49360019319,24.378.766.957,24.981.252.363
 Empresa D ,MANUFACTURA,2024,42.641.912.550,39.733.273.850,24567554537,18.814.553.400,12776869033,48.267.896.213,24567554537,23700341676
Empresa D,Manufactura,2025,43.690.139.018,39690387477,3.999.751.540,17074989242,13796093337,55100222501,32585987101,22514235400
  Empresa E,TECNOLOGÍA,2022,80748296498,76165847883,4.582.448.614,73.254.138.209,22.873.692.418,73.254.138.209,40296860324,32957277885
Empresa E  ,Tecnología,2023,83327218768,76845930057,6.481.288.711,28695160973,20.461.770.060,74303177714,42.202.725.186,42.202.725.186
Empresa E,Tecnología,2024,87.588.994.300,81.308.880.432,6.280.113.868,81.308.880.432,23.716.396.377,87106697258,40730600605,46.376.096.653
Empresa E,Tecnología,2025,92419428808,84233537820,8.185.890.988,33954128338,84233537820,77147589527,39980953735,37.166.635.792
Empresa F,Retail,2022,70.115.550.050,70.115.550.050,5036508323,23615699529,16018560881,83847715140,40938687533,42909027607
Empresa F,retail,2023,72.997.786.565,67.452.198.784,32.438.733.274,45399740310,32.438.733.274,99083406592,62087632298,36995774294
Empresa F,retail,2024,76539490175,20981795910,4924823952,30.546.336.938,20981795910,78.380.441.070,45329631026,33050810044
Empresa F,Retail,2025,78.829.262.749,75235795319,3.593.467.431,19736583653,14.789.589.529,89.262.545.340,42040039258,47222506082
  Empresa G,Retail,2022,82819126939,75205065764,7614061175,21352370536,12.291.857.925,99497794875,32087092286,67410702589
Empresa G,Retail,2023,14.012.684.844,80695245706,14.012.684.844,34.472.356.016,16610995864,120352153607,41.777.898.174,78574255432
Empresa G,Retail,2024,100361338760,87085768445,100361338760,39021703188,19.217.087.338,108.411.803.559,37074208418,71337595141
Empresa G,retail,2025,115.669.418.387,104304612630,10952006886,34.116.966.204,16198709497,115.669.418.387,39301603771,76.367.814.616
Empresa H,tecnología,2022,15.937.808.658,14855517147,1082291511,6.600.957.279,4648140266,13.471.128.882,8.241.504.396,5229624486
Empresa H,Tecnología,2023,16318982854,15037614459,1281368395,4.515.522.267,3956221422,13199686208,7348225842,3956221422
Empresa H,tecnología,2024,16799661425,15.711.729.005,1087932420,6905616247,4.739.766.887,22155229463,1087932420,10037999665
Empresa H  ,Tecnología,2025,16.042.665.630,16.042.665.630,1.094.437.409,8614692643,7083011289,21782588043,13513383559,8269204484
Empresa I,Construcción,2022,42645596154,40334577979,2311018176,2311018176,10.821.964.555,52942047285,25261284266,27.680.763.019
Empresa I,Construcción,2023,43584042072,2994230531,2994230531,16.230.640.042,14399294100,48756407953,30.189.913.031,18566494922
Empresa I,Construcción,2024,45.939.920.886,45.939.920.886,2105757095,21407000788,16.956.410.046,60507080283,28965558746,31541521537
Empresa I,Construcción,2025,47905553035,12898889247,3.565.105.734,12898889247,9474894269,40.680.918.656,19.285.089.481,21395829175
Empresa J,manufactura,2022,19578069869,7635591241,-309705003,6459704169,7635591241,23552694764,17.796.743.267,5755951497
Empresa J,Manufactura,2023,18842797154,19090781363,-247984209,7732653263,7478778347,26362442421,20305376339,26362442421
 Empresa J ,Manufactura,2024,18439662492,18739181740,18439662492,9574688673,9551736181,24.497.432.832,21591613357,2905819475
Empresa J,Manufactura,2025,18075803604,18533843009,-458039404,9247689927,-458039404,21094583181,17.458.474.913,3636108268
Empresa K,Retail,2022,49263687897,46908842032,2354845865,22492416276,15490773314,47228090287,28922055041,18306035246
Empresa K,Retail,2023,50555279147,47634278474,19749884244,19749884244,14383177315,50844868516,25537033153,25307835363
Empresa K,retail,2024,52588428571,49640174537,2948254033,16711868382,15026773029,43673603251,26.961.734.869,16711868382
