boleta_id,fecha,tienda,producto,categoria,cantidad,precio_unit,monto
1,2026-08-09,Tienda Centro,Agua mineral,Bebidas,1,900,900
2,2026-06-06,Tienda Centro,Azúcar,Café/Té,1,1300,1300
2,2026-06-06,Tienda Centro,Cerveza,Alcohol,1,3500,3500
2,2026-06-06,Tienda Centro,Croissant,Panadería,1,900,900
2,2026-06-06,Tienda Centro,Pañales,Bebé,1,8000,8000
2,2026-06-06,Tienda Centro,Toallitas húmedas,Bebé,1,2200,2200
3,2026-07-28,Tienda Mall,Agua mineral,Bebidas,2,900,1800
3,2026-07-28,Tienda Mall,Cerveza,Alcohol,1,3500,3500
3,2026-07-28,Tienda Mall,Pañales,Bebé,1,8000,8000
4,2026-06-08,Tienda Norte,Cerveza,Alcohol,1,3500,3500
4,2026-06-08,Tienda Norte,Croissant,Panadería,2,900,1800
4,2026-06-08,Tienda Norte,Leche,Lácteos,2,1200,2400
4,2026-06-08,Tienda Norte,Papas fritas,Snacks,1,1800,1800
5,2026-07-07,Tienda Centro,Detergente,Limpieza,1,5500,5500
5,2026-07-07,Tienda Centro,Toallitas húmedas,Bebé,1,2200,2200
6,2026-08-12,Tienda Norte,Bebida cola,Bebidas,1,1500,1500
6,2026-08-12,Tienda Norte,Croissant,Panadería,2,900,1800
6,2026-08-12,Tienda Norte,Leche,Lácteos,1,1200,1200
7,2026-07-04,Tienda Norte,Cloro,Limpieza,1,1400,1400
7,2026-07-04,Tienda Norte,Detergente,Limpieza,1,5500,5500
7,2026-07-04,Tienda Norte,Esponjas,Limpieza,1,1200,1200
8,2026-06-23,Tienda Norte,Bebida cola,Bebidas,1,1500,1500
8,2026-06-23,Tienda Norte,Cerveza,Alcohol,1,3500,3500
8,2026-06-23,Tienda Norte,Mantequilla,Lácteos,2,2500,5000
8,2026-06-23,Tienda Norte,Pan hallulla,Panadería,1,1500,1500
8,2026-06-23,Tienda Norte,Papas fritas,Snacks,1,1800,1800
8,2026-06-23,Tienda Norte,Queso,Lácteos,1,4500,4500
9,2026-07-30,Tienda Sur,Maní,Snacks,1,1200,1200
9,2026-07-30,Tienda Sur,Papas fritas,Snacks,1,1800,1800
9,2026-07-30,Tienda Sur,Pañales,Bebé,2,8000,16000
9,2026-07-30,Tienda Sur,Toallitas húmedas,Bebé,2,2200,4400
10,2026-06-08,Tienda Norte,Croissant,Panadería,1,900,900
10,2026-06-08,Tienda Norte,Maní,Snacks,1,1200,1200
10,2026-06-08,Tienda Norte,Toallitas húmedas,Bebé,1,2200,2200
11,2026-06-21,Tienda Centro,Azúcar,Café/Té,2,1300,2600
11,2026-06-21,Tienda Centro,Cloro,Limpieza,2,1400,2800
11,2026-06-21,Tienda Centro,Leche,Lácteos,1,1200,1200
12,2026-06-26,Tienda Mall,Pan molde,Panadería,1,1800,1800
13,2026-07-23,Tienda Norte,Cloro,Limpieza,1,1400,1400
13,2026-07-23,Tienda Norte,Detergente,Limpieza,1,5500,5500
13,2026-07-23,Tienda Norte,Leche,Lácteos,2,1200,2400
14,2026-07-28,Tienda Centro,Azúcar,Café/Té,1,1300,1300
14,2026-07-28,Tienda Centro,Café,Café/Té,1,4000,4000
14,2026-07-28,Tienda Centro,Pan molde,Panadería,1,1800,1800
15,2026-05-30,Tienda Centro,Azúcar,Café/Té,1,1300,1300
15,2026-05-30,Tienda Centro,Croissant,Panadería,1,900,900
15,2026-05-30,Tienda Centro,Mantequilla,Lácteos,1,2500,2500
16,2026-06-22,Tienda Mall,Azúcar,Café/Té,1,1300,1300
16,2026-06-22,Tienda Mall,Esponjas,Limpieza,1,1200,1200
16,2026-06-22,Tienda Mall,Jugo naranja,Bebidas,1,1600,1600
16,2026-06-22,Tienda Mall,Queso,Lácteos,2,4500,9000
17,2026-07-16,Tienda Centro,Cerveza,Alcohol,1,3500,3500
17,2026-07-16,Tienda Centro,Croissant,Panadería,1,900,900
17,2026-07-16,Tienda Centro,Papas fritas,Snacks,2,1800,3600
18,2026-05-27,Tienda Norte,Pan hallulla,Panadería,1,1500,1500
18,2026-05-27,Tienda Norte,Queso,Lácteos,1,4500,4500
19,2026-06-16,Tienda Norte,Azúcar,Café/Té,1,1300,1300
19,2026-06-16,Tienda Norte,Bebida cola,Bebidas,1,1500,1500
19,2026-06-16,Tienda Norte,Café,Café/Té,2,4000,8000
19,2026-06-16,Tienda Norte,Galletas,Snacks,1,1000,1000
19,2026-06-16,Tienda Norte,Pañales,Bebé,3,8000,24000
20,2026-06-01,Tienda Centro,Cerveza,Alcohol,1,3500,3500
20,2026-06-01,Tienda Centro,Leche,Lácteos,1,1200,1200
20,2026-06-01,Tienda Centro,Maní,Snacks,1,1200,1200
20,2026-06-01,Tienda Centro,Papas fritas,Snacks,1,1800,1800
21,2026-05-29,Tienda Mall,Azúcar,Café/Té,1,1300,1300
21,2026-05-29,Tienda Mall,Leche,Lácteos,1,1200,1200
21,2026-05-29,Tienda Mall,Pan hallulla,Panadería,2,1500,3000
22,2026-06-19,Tienda Norte,Café,Café/Té,1,4000,4000
22,2026-06-19,Tienda Norte,Queso,Lácteos,1,4500,4500
23,2026-07-08,Tienda Sur,Esponjas,Limpieza,3,1200,3600
23,2026-07-08,Tienda Sur,Galletas,Snacks,3,1000,3000
23,2026-07-08,Tienda Sur,Jugo naranja,Bebidas,1,1600,1600
23,2026-07-08,Tienda Sur,Maní,Snacks,2,1200,2400
24,2026-06-08,Tienda Norte,Cerveza,Alcohol,1,3500,3500
24,2026-06-08,Tienda Norte,Mantequilla,Lácteos,2,2500,5000
24,2026-06-08,Tienda Norte,Pan hallulla,Panadería,1,1500,1500
24,2026-06-08,Tienda Norte,Pañales,Bebé,1,8000,8000
24,2026-06-08,Tienda Norte,Queso,Lácteos,1,4500,4500
25,2026-06-12,Tienda Centro,Bebida cola,Bebidas,3,1500,4500
25,2026-06-12,Tienda Centro,Cloro,Limpieza,1,1400,1400
26,2026-08-02,Tienda Centro,Cloro,Limpieza,1,1400,1400
26,2026-08-02,Tienda Centro,Maní,Snacks,1,1200,1200
26,2026-08-02,Tienda Centro,Pañales,Bebé,1,8000,8000
26,2026-08-02,Tienda Centro,Toallitas húmedas,Bebé,1,2200,2200
27,2026-06-05,Tienda Sur,Croissant,Panadería,3,900,2700
27,2026-06-05,Tienda Sur,Mantequilla,Lácteos,1,2500,2500
27,2026-06-05,Tienda Sur,Pan molde,Panadería,1,1800,1800
28,2026-06-22,Tienda Norte,Bebida cola,Bebidas,2,1500,3000
28,2026-06-22,Tienda Norte,Croissant,Panadería,1,900,900
28,2026-06-22,Tienda Norte,Jugo naranja,Bebidas,3,1600,4800
28,2026-06-22,Tienda Norte,Queso,Lácteos,1,4500,4500
