boleta_id,fecha,Tienda,producto,Categoria,cantidad,precio_unit,Monto
1,10-8-2026, Tienda Centro ,Agua mineral  ,Bebidas,,900,900
2,2026-06-07,Tienda Centro,Azúcar,Café/Té,1,1300,1300
2,07-06-2026,Tienda Centro  ,Cerveza,ALCOHOL,1,3500,3500
2,2026/06/07,Tienda Centro,Croissant,panadería,1,900,900
2,2026-06-07,Tienda Centro,Pañales,Bebé,1,8000,8000
2,2026-06-07,Tienda Centro,Toallitas húmedas,Bebé,1,2200,2200
3,2026-07-29,Tienda Mall,  Agua mineral,BEBIDAS,2,900,1800
3,29/7/2026,Tienda Mall,Cerveza,Alcohol,1,3500,3500
3,29-7-2026,Tienda Mall  ,Pañales,BEBÉ,1,8000,8000
4,2026/06/09,Tienda Norte  ,Cerveza,Alcohol,1,3500,3500
4,2026-06-09,Tienda Norte,  Croissant,Panadería,2,900,1800
4,09-06-2026,Tienda Norte,Leche,Lácteos,2,1200,2400
4,2026-06-09,Tienda Norte,Papas fritas,Snacks,1,1800,1800
5,2026-07-08,Tienda Centro,Detergente  ,limpieza,1,5500,5500
5,2026-07-08,Tienda Centro,Toallitas húmedas  ,Bebé,1,2200,2200
6,13/8/2026, Tienda Norte ,Bebida cola,BEBIDAS,1,1500,1500
6,13/8/2026,Tienda Norte,Croissant,Panadería,2,900,1800
6,2026-08-13, Tienda Norte ,Leche,LÁCTEOS,1,1200,1200
7,5/7/2026,  Tienda Norte,Cloro,limpieza,1,1400,1400
7,5/7/2026,Tienda Norte,Detergente  ,Limpieza,1,5500,5500
7,2026/07/05,Tienda Norte, Esponjas ,Limpieza,1,1200,1200
8,2026-06-24,Tienda Norte,Bebida cola,bebidas,1,1500,1500
8,24-6-2026,Tienda Norte,  Cerveza,Alcohol,1,3500,3500
8,24-06-2026,Tienda Norte,Maní,Snacks,2,1200,2400
8,2026-06-24,Tienda Norte,Pan hallulla,Panadería,1,1500,1500
8,2026-06-24,Tienda Norte  ,Papas fritas,snacks,1,1800,1800
9,2026-06-07,Tienda Norte  ,Agua mineral,Bebidas,1,900,900
9,2026/06/07,Tienda Norte, Azúcar ,Café/Té,3,1300,3900
9,7/6/2026, Tienda Norte ,Pañales,bebé,1,8000,8000
9,2026-06-07,Tienda Norte,Toallitas húmedas  ,Bebé,1,2200,2200
10,2026/05/27,  Tienda Centro, Yogurt ,Lácteos,2,800,1600
11,14-07-2026,Tienda Centro,  Galletas,SNACKS,1,1000,1000
11,2026-07-14,Tienda Centro,Toallitas húmedas,Bebé,3,2200,6600
12,22-5-2026,Tienda Centro,Agua mineral,Bebidas,1,900,900
12,2026-05-22,Tienda Centro,Azúcar,CAFÉ/TÉ,1,1300,1300
12,22/5/2026,Tienda Centro, Cloro ,Limpieza,2,1400,2800
12,22-05-2026,Tienda Centro,  Detergente,Limpieza,2,5500,11000
12,2026-05-22,Tienda Centro  ,Esponjas,Limpieza,3,1200,3600
13,12-6-2026,Tienda Centro,Cloro,Limpieza,1,1400,1400
13,2026/06/12,Tienda Centro,Detergente,Limpieza,2,5500,11.000
13,12-06-2026,Tienda Centro, Jugo naranja ,Bebidas,1,1600,1600
13,2026-06-12,Tienda Centro,Té,Café/Té,1,2500,2500
14,2026-07-01,Tienda Mall,Vino tinto,ALCOHOL,2,5000,10.000
15,2026-06-29,Tienda Norte,Cerveza,Alcohol,1,3500,3500
15,2026-06-29,Tienda Norte,Pañales  ,Bebé,1,8000,8000
16,2026-07-28,Tienda Norte,Café,Café/Té,1,4000,4000
